Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
NoSql/Raven DB implementation best practices;;;;
Aerospike: how do I get record key?;I too have faced this problem even at the time of writing we were setting the WritePolicy.sendkeys=true.;;;3
what exactly is a map dimension in a multi-dimensional map?;;;;3
NoSQL or Ehcache caching?;if you want to try routing, you even might look at Neo4j, see the blog on using an A* algo for;;;7
key-value store suggestion;Use Berkeley DB.;;;5
Can I use NoSQL database in WordPress? [closed];Somebody working on this already here.;Shashank AgarwalShashank Agarwal;            71488 silver badges1414 bronze badges;8
Flat file NoSQL solution [closed];TinyDB looks like a good solution:;BasjBasj;            34.5k7575 gold badges286286 silver badges525525 bronze badges;8
NoSQL FREE alternative (alternative to ravendb) for C# development [closed];Like RavenDB and MongoDB, CouchDB is a document store noSQL database with REST Api (so you can used with any language).;;;5
how UPDATE rows in cassandra using only Partition Key?;;;;
Understanding results of mongostat;"So mongostat is not really a ""live monitor"". It's mostly useful for connecting to a specific server and watching for something specific (what's happening when this job runs?). But it's not really useful for tracking performance over time.";;;3
SQL vs NOSQL: Which to use for this schema?;"You can probably implode all of the {organisation, region,campus,event } hierarchy into one  hierarchical / tree based / self-referential relation. Maybe ""user"", too.
That would drastically reduce the number of tables needed. for an example, please take a look at this implementation: Interesting tree/hierarchical data structure problem (which is actually more complex than yours).";wildplasserwildplasser;            40.5k77 gold badges5757 silver badges9999 bronze badges;4
How can we ensure Data integrity in mongoDb?;Steps to ensure Data Integrity:;;;3
MongoDB: How to merge two collections/databases together into one?;Starting Mongo 4.2, the new aggregation stage $merge can be used to merge the content of a collection in another collection in another database:;;;5
What to use for session management?;Redis supports replication and upcoming cluster should also support sharding of data across multiple nodes.;;;5
Cassandra denormalization datamodel;It is worth adding that Cassandra 3.0 introduced Materialized Views, which does this denormalization automatically, including the necessary house-keeping to keep the data in sync.  It is most likely not suitable for every situation, but it's worth to have a look.;;;0
Mongo DB - sub-collections?;;;;
How to implement user defined fields and grouping for the multi-tenant application: EAV, fixed tables pattern, NoSQL;;;;
NoSQL abstraction layer for Python;You can take a look at http://www.allbuttonspressed.com/projects/django-nonrel which provides a nosql abstraction layer for Django;;;2
Does using Projection Expressinos in querying DynamoDB reduce the read capacity unit comsumption?;"According to AWS CLI Command Reference: https://awscli.amazonaws.com/v2/documentation/api/latest/reference/dynamodb/query.html
""DynamoDB calculates the number of read capacity units consumed based on item size, not on the amount of data that is returned to an application. The number of capacity units consumed will be the same whether you request all of the attributes (the default behavior) or just some of them (using a projection expression). The number will also be the same whether or not you use a FilterExpression""";;;1
Embedded document database for Node.js [closed];"Check this one: https://www.npmjs.com/package/ultradb 
 * no need for configuration, just point database file
 * written for node in C, uses native node API - NAPI
 * ideal for storing logs, large number of documents
 * not ideal if you need to query over documents properties - you'll have to handle all kind of indexing yourself
 * works as part of node, no separate processes
 * multicore processors friendly - scales with node processes, multiple node instances/forks can work simultaneously on same database 
 * about 300kB";;;0
Updating part of a Document in Azure DocumentDB;;;;
What is the best practice of firestore data structure?;;;;0
Filtering / Querying by the Contents of a List in DynamoDB;"I found a solution and I tested it, and it is working fine.
Here's what I did,";hcurnorhcurnor;            4355 bronze badges;1
How to create unique keys in KeystoneJS;I was only able to enforce the uniqueness by using the mongoose-unique-validator module like so:;Chris WilsonChris Wilson;            6,44188 gold badges3333 silver badges6767 bronze badges;3
insert row on keyspace in Apache Cassandra + Hector + Java;;;;
AWS Athena partition fetch all paths;;;;
MongoDb vs Cassandra:Read/Write myths?;;;;
Are there NOSQL data layer design patterns? [closed];;;;
How to maintain denormalized consistency in NoSQL?;;;;
Help me understand mnesia (NoSQL) modeling;"First of all, you ask for key-value store design patters. Perfectly fine. 
Before I will try to answer your question lets make it clear - what is Mnesia. It is k-v DB, which is included in OTP. Because it is native, it is very comfortable to use from Erlang. But be careful. This is old database with very ancient assumptions (e.g. data distribution with linear hashing). So go ahead, learn and play with it, but for production take your time and browse NoSQL shop to find the best for your needs.";user425720user425720;            3,55011 gold badge1919 silver badges2323 bronze badges;-1
How to implement Object Databases in Asp.net MVC;I guess you want to get started in MongoDb with asp.net MVC. In that case get the latest community supported drivers for Mongodb from http://github.com/samus/mongodb-csharp and follow this step by step blog post http://odetocode.com/Blogs/scott/archive/2009/10/13/experimenting-with-mongodb-from-c.aspx;;;2
"How would a ""NOSQL"" database be designed for consumer apps (e.g. social bookmarking) [closed]";;;;
Using a NoSQL database over MySQL [closed];I think that it very much depends on what you want to store in the database. I don't have experience with CouchDB or Cassandra so I will let someone else speak for them but I frequently use MongoDB and MySQL.;;;2
Read a file from a mongo shell;;;;
How to handle many to many in DynamoDB;Take a look at this answer, as it covers many of the basics which are relevant to you.;;;4
High Performance DB for Fast Read and Fast Write. No Update or Delete [closed];Let me be the Cassandra sponsor.;Carlo BertucciniCarlo Bertuccini;            18.6k33 gold badges2727 silver badges3737 bronze badges;6
ElasticSearch vs. ElasticSearch+Cassandra;;;;
Does Google BigQuery/ Amazon Redshift use column-based relational database or NoSQL database?;;;;6
Multiple instances of a levelDB database at the same time;I was able to do this in linux by having each process make a directory of its own (e.g. $HOME/.leveldb/myprogram_myPID) and then do:;;;9
how to query from realm database with distinct results java;Please use below steps to work distinct on Realm;;;0
Is there a reliable (single server) MongoDB alternative?;A very short answer to your specific (but brief) requirements:;Alex PopescuAlex Popescu;            3,9321616 silver badges1919 bronze badges;7
mongodb best practice: nesting;You may want to take a look at schema design in MongoDB, and specifically the advice on embedding vs. references.;Pero P.Pero P.;            23.5k77 gold badges5959 silver badges8181 bronze badges;8
SQL and NoSQL Analogy for the Non-Technical [closed];"There is no such thing as noSQL. There is only a whole bunch of new database technologies with completely different philosophies and use-cases, and all they have in common are things they also have in common with SQL databases. But when what you really mean to ask is ""how can I explain a heterogeneous storage strategy to a non-technical person"", I would use the office metaphor.";PhilippPhilipp;            63.3k99 gold badges111111 silver badges143143 bronze badges;6
Too many open files while ensure index mongo;"I added a temporary ulimit -n 4096 before the restore command.
also you can use 
mongorestore --numParallelCollections=1 ... and that seems to help.
But still the connection pool seems to get exhausted.";;;6
Is there any stable nosql database for iOS except for Couchbase?;Edit (April, 2016):;JP IllanesJP Illanes;            3,5854141 silver badges5656 bronze badges;6
Can i delete default MongoDB Index?;You can't delete the _id index once created. However you can create a collection without _id indexes by setting the autoIndexId option to false using db.createCollection but without _id you can't replicate your collection.;;;4
Any Validity to the NoSQL movement?;Others can address the NoSQL specifics better than I can, but as for the second part of your question (worrying about getting into SQL if NoSQL starts becoming more popular): I have customers who still use very old flat-file based mainframes.;;;5
NoSQL Database for Banking System [closed];"Before answering this question I would like to give an example:
GT.M is a NoSQL Database that provide extreme transaction. which is used in the world's largest core banking system, FIS Core Banking system (ranked #1 by inntron)";Muhammad Hassan NasrMuhammad Hassan Nasr;            2,56933 gold badges1616 silver badges2020 bronze badges;8
Store enum as integer in RavenDB;You can do that by creating a JsonConverter to do this, then add it to the documentStore.Conventions.Converters.;;;8
Neo4j and big log files;;;;
CAP with distributed System;;;;
Redis availability and CAP theorem;"According to the book ""Redis Essentials"" in page 170：";;;3
Modelling a Chat like Application in Firebase;;;;3
How suitable is opting for RethinkDB instead of traditional SQL for a JSON API? [closed];;;;
Dynamodb: query using more than two attributes;;;;
Which NoSQL db to use with C? [closed];MongoDB works great with C - there is both a C driver and a C++ driver.  The database uses the C++ driver itself for functions like replication (MongoDB is written in C++).;;;5
Row Inserts having same primary key, are replacing previous writes in Cassandra;;;;
Advice on mixing MongoDB w/ MySQL for a web application;This can definitely be done in SQL using EAV. So NoSQL is definitely not required.;;;3
Are RDBMS that bad as described in Hadoop: The definitive guide?;"I don't think that Tom White is saying that relational databases are ""bad""; they aren't optimal for non-relational, non-set based data.";;;4
NoSQL & AdHoc Queries - Millions of Rows;CouchDB's map/reduce is incremental which means it only processes a document once and stores the results.;JasonSmithJasonSmith;            70k2121 gold badges120120 silver badges147147 bronze badges;2
Can CouchDB handle 15 million records daily?;;;;
Why use NoSQL over Materialized Views?;NoSQL is not about getting better performance out of your SQL database. It is about considering options other than the default SQL storage when there is no particular reason for the data to be in SQL at all.;;;4
"Firebase Database - the ""Fan Out"" technique";;;;2
NoSQL databases that officially support MonoTouch;Take a look on Couchbase Lite xamarin's component;;;3
Is it too soon to use Couchbase Mobile?;;;;
how to create a persistent offline database with electron and pouchdb;Sounds like pouchdb-server could fit your needs: https://github.com/pouchdb/pouchdb-server;;;2
When should I use AQL?;;;;
Is there a better database than Git (with serializable, immutable, versioned trees)?;Although the index/working copy parts of git can be separated out easily enough, git is not designed for merges or commits at the rate of thousands per second on a single machine. The core code is not even threadsafe, for the most part. You will likely need to create some new system for your data (you can still use git for the code, of course, and can also look into generating git commits to represent your data when necessary, etc).;;;1
I need an introduction to MongoDB/NoSQL Database [closed];;;;
"Are there any ""gotchas"" in deploying a Cassandra cluster to a set of Linode VPS instances?";;;;
How to deploy changes to a Cassandra CQL schema;Since there wasn't an existing tool, I ended up writing one.;PhilPhil;            2,14922 gold badges2424 silver badges2626 bronze badges;2
CosmosDB - DocumentDB - Bulk insert without saturating collection RU;"The key to faster insertion is to distribute your load across multiple physical partitions.
In your case, based on the total volume of data that is there in the collection, you would have a minimum of totalvolume/10GB partitions.
Your total RUs are equally distributed among these partitions.";;;0
How do you handle relations in a NoSQL database?;Which NoSQL database are you using? Berkeley DB, for example, has support for secondary indices.;;;0
MongoDB - children and parent structure;Very nice summary from @CynicalProgrammer, I would add one more: use the fact that json is a tree to your adventage! No need to store only the 'left' and 'right' node ID in each node, why not store a subtree, 3-4-5 deep down? So it would look like this:;;;2
Backup neo4j community edition offline in unix: mac or linux;I also ran into this issue and wrote following two codes:;;;11
mongorestore syntax error;"mongorestore is not a command , it an executable in the bin directory of MongoDB.
Below is the quote from http://docs.mongodb.org/manual/reference/program/mongorestore/";;;3
How to see stored data in LiteDB-NoSQL;I have written fully fledged editor, which can be downloaded here https://github.com/JosefNemec/LiteDbExplorer;;;7
Reasons for Redis to slow down;As was mentioned new connections, > 200 per minute could cause slownesses. A Possible solution is to add a proxy that keeps constant number of connections:;;;0
What is the major difference between Redis and Membase?;"Membase is a massive key-value store with persistent and replication for failover.  The data stored in membase is not subject to ""modification"" (besides increment).  You get or set it.";;;8
Maximum number of databases in redis;So the official documentation indicates that the default setting is 16. This may be changed in redis.conf. The official documentation does not indicate the range that is allowed here.;danielson317danielson317;            2,82422 gold badges2323 silver badges3737 bronze badges;5
Redis finding hashes by field values;"For next readers, the SORT command would probably help using the ""BY pattern"" argument";;;0
is MongoDB and Ldap the same concept?;"The most important thing, which differs LDAP databases from other noSQL, like MongoDB or CouchDB, is very flexible ACL system. 
For example, you can grant access to the object in the tree, using groups and users stored in the same tree. In fact, you can use objects itself to authenticate against the LDAP server.";;;7
Inserting None values into DynamoDB using Boto;You are not doing anything wrong. While boto is sophisticated indeed, you have to remember, that it does not have the knowledge of your business logic.;;;8
Get aggregate sum of json array in Postgres NOSQL json data;If you need to know how the query is built:;;;1
Which database to choose (Cassandra, MongoDB, ?) for storing and querying event / log / metrics data?;"To clarify, this is 10,000 rows returned. In your example, this will work for up to 10,000 combinations of dimension1/dimension2. If that's too large, then you can also use the slower Map / Reduce. Note that if you're running a query with more than 10k results, it may best to use Map / Reduce and save this data. 10k is a large query result to otherwise just ""throw away"".";;;6
Removing many to many reference in Mongoose;"I use my patched version of mongoose-relationship ""plugin"" to solve this: take a look on 
https://github.com/begrossi/mongoose-relationship/tree/remove-from-parent-if-removed-from-child-set.";;;0
Extremely high QPS - DynamoDB vs MongoDB vs other noSQL?;Ah that's not so much, even SQL can handle that. So you are already easily within the limits of what most modern DBs can handle. However they can only handle this with the right:;SammayeSammaye;            41.7k77 gold badges9292 silver badges142142 bronze badges;2
Distributed NoSQL database for Raspberry Pi with sharding and replication?;I don't have my Raspberry Pi yet, but I am really hoping that Redis runs on a Raspberry Pi.  From looking around the Redis website, there's no reason to believe it shouldn't.;;;4
why is scaling writes to a relational database virtually impossible?;A sharded database is actually quite different to a normal SQL database. In a lot of ways it is more like a custom NoSQL system that just happens to use a database for storage. Unless your dataset consists of a lot of completely disconnected subsets, most queries more complex than get by ID won't work the same as they do on a single node database.;;;6
Master-less model in Cassandra vs master-slave model in MongoDB?;In Cassandra, Masterless means any can process the request. The node which receives the request is called as coordinator node and its responsibility is to coordinate the read/write request.;sjsupersumitsjsupersumit;            14422 silver badges1111 bronze badges;2
How does mongoDB actually work? [duplicate];The reason why you are having trouble wrapping your head around it is because MongoDB is not a relational database, it is a document-oriented database.  For something simple like a tree of comments with a very set structure and a one-to-many relationship you would probably be best off sticking with MySQL.  User profile might be an interesting thing to use MongoDB for, but again, if it is very structured you might be better off with MySQL.;tplanertplaner;            8,14533 gold badges2828 silver badges4747 bronze badges;6
Redis periodically stops responding on high load;We found if you use aof persistance along with rdb snapshots, sometimes the rdb updating can delay the aof being updated, which in turn causes writes to redis to block. Turning off aof persistance cured the intermittant latency we were having, which was ok for us as loosing the latest few keys due to a crash was not to important.;;;2
Is it possible to work with OrientDB using C#?;"Currently OrientDB supports both a REST/JSON protocol and a native binary protocol.
There are Python and Javascript wrappers for the REST protocol whyle there are C and PHP wrappers for the native protocol. I don't know if a C# wrapper is in the working however looking at the specifications ( http://code.google.com/p/orient/wiki/OrientDB_REST ) writing one for C# should be straightforward. I have met in person the architect of the project at a JUG meeting and I must say that OrientDB is a very promising project. Also Luca Garulli ( the architect ) is a very available person, so you may write him if you need more information.";registerregister;            39944 silver badges1414 bronze badges;5
What NoSQL database (categories) support versioning?;A really interesting approach to this is the Datomic database. Rather store versions, in Datomic, there are no updates only inserts. The entire database is immutable meaning you can specify the moment of truth you want to see the database as on connect and the entire history will appear to only contain the changes made up to that point. Or to think of it another any anything inserted into the database can be queried for its history looking backward. You can also branch the database and create data in one branch that isn't in the other (in programming it is like a database based on git, where multiple histories can be created);;;5
Most efficient way to save way points and do comparisons?;;;;
How does Amazon.com function with a key-value datastore?;You may want to start your research by checking out these Stack Overflow articles:;Daniel VassalloDaniel Vassallo;            322k7070 gold badges493493 silver badges435435 bronze badges;5
Nested query not working in Cassandra;;;;
How do mongos instances work together in a cluster?;As of MongoDB 2.4, the mongos servers only provide a routing service to direct read/write queries to the appropriate shard(s). The mongos servers discover the configuration for your sharded cluster via the config servers. You can find out more details in the MongoDB documentation: Sharded Cluster Query Routing.;StennieStennie;            60.2k1414 gold badges137137 silver badges166166 bronze badges;5
Hybrid DB System: NoSQL for data, SQL for relationships. Best Practice? [closed];If the only reason you like to use a NoSQL database along with a RDBMS is to gain speed and flexibility, I'd suggest to use a caching server instead (such as Memcache). You could build a document/result using sql statements and store it using a single key value in memcache for retrieving it later. Its much easier to implement than say MongoDB. But it of course depends on your requirements if you really only intend to do document lookups by using a key or plan to use more complex queries for your documents.;;;5
Mix of MySQL and Mongodb in an application;So the way we solved this problem was by moving to Postgres. Postgres has a datatype called hstore that acts like a NoSQL column. Works pretty sweet;Reza SReza S;            8,71633 gold badges5151 silver badges8282 bronze badges;4
Quick Sending of 4[GB] To Be Processed From 100 Machines?;Use rpyc.  It's mature and actively maintained.;;;3
Write-only collections in MongoDB;To add a write only (on collection level) user to the MongoDB do the following.;Developer Marius ŽilėnasDeveloper Marius Žilėnas;            5,46011 gold badge4040 silver badges6060 bronze badges;3
Is Cassandra suitable to use as a primary data store?;Whether to use Cassandra for your application or not depends purely on your data workloads. Cassandra is optimised for write-intensive workloads, therefore, it is suitable for applications where a large amount of data needs to be inserted (such as infrastructure logging information at Facebook).;;;4
Composite Primary Key equivalent in Redis;"The idiomatic way of doing this in Redis is to use a SET for each type of query you want to do.
In your case you would create:";Pascal Le MerrerPascal Le Merrer;            5,3971818 silver badges3434 bronze badges;3
Delphi and NoSQL;"There is a new full featured driver for MongoDB ""mongo-delphi-driver"" which can be found (with examples) here:  https://github.com/gerald-lindsly/mongo-delphi-driver.";;;3
Removing multiple MongoDB documents in Python;;;;
Is NoSQL is suitable for Social Networking kind of applications;If you are mainly interested in navigating the network relationships, then I think it's fair to say that graph databases such as Neo4J and InifiteGraph are worth checking out. (Constant time navigation of links in the network.);;;3
Firebase for complex query. A no go?;;;;0
How do I run geospatial queries at scale with NoSQL?;Aerospike provides a proven highly scalable NoSQL solution. Geospatial query has recently been added, and an Early Adopter release has just been announced. You might want to check that out.;;;3
What is the best api/library for Java to use Cassandra? [closed];i know this is an old question but I'd like to point future viewer of the question to Astyanax. It's a very well documented Cassandra API with many examples and support very high level features such as locking and all versions of cql. Astyanax is also Mavenized.;;;3
How does Apache Cassandra do aggregate operations?;Using SliceRange could be thought of as Cassandra's version of LIMIT and ORDER BY.;;;2
MongoDB C# Driver Unable to Find by Object ID?;;surendra salkesurendra salke;            1133 bronze badges;0
How to store tree structures in Java?;Here's a great article on Neo4j.  In general, it looks like neo4j is your best option since document databases are still relatively flat and can result in some awkward setup (still doable though).;;;4
MongoDB Concurrency Issue;// Specific to your case;Manjinder AulakhManjinder Aulakh;            16811 gold badge11 silver badge66 bronze badges;4
How can I use AWS's Dynamo Db with Django?;"It's not like ready made battery for django, but worth looking at it regardless.
https://github.com/pynamodb/PynamoDB";;;2
What database for crawler/scraper?;"Google built a database called ""BigTable"" for crawling, indexing and the search related business. They released a paper about it (google for ""BigTable"" if you're interested). There are several open source implementations for bigtable-like designs, one of them is Hypertable. We have a blog posting describing a crawler/indexer implementation (http://hypertable.com/blog/sehrchcom_a_structured_search_engine_powered_by_hypertable/) written by the guys from sehrch.com. And looking at your requirements: all of them are supported and are common use cases.";;;4
NoSQL schemaless data and statically typed language;You can always have a class which provides both:;;;1
Geo spatial index in mongodb with node.js;You may want some reference here on how to do it :) And for someone who comes after. Just in case, someone is interested;;;0
How to store the chat history in Django + Pusher? Is Tornado or Celery needed?;;;;
NoSQL for time series/logged instrument reading data that is also versioned;I only have experience in Cassandra and MongoDB but my experience might add something.;;;2
How would you implement twitter using a noSQL kind of DB?;I'd use Redis. Queue of keys per user + set of blobs retrieved by these keys.;;;2
When I remove rows in Cassandra I delete only columns not row keys;Cassandra uses Distributed Deletes as expected.;;;4
Redis, redis fatal error can't open config file;Redis server might have no read privilege on this config file or config file doesn't exist.;;;2
Embedded couchDB;Unfortunately the question doesn't offer enough details about your app requirements so it's kind of difficult to offer an advise. Anyways, I'm not aware of any other storage solution offering a similar/advanced P2P replication.;;;3
Bulk update/upsert in MongoDB?;"mongo can execute .js file.
you can push all you update commands in a js file.";uniqueunique;            2111 bronze badge;2
schema-less design guidelines for Google App Engine Datastore and other NoSQL DBs;;;;
id autoincrement/sequence emulation with CassandraDB/MongoDB etc;Autoincrement IDs inherently don't scale well as they need a single source to generate the numbers. This is why shardable/replicatable databases such as MongoDB use longer, GUID-like identifiers for objects. Why do you need LONG values so badly?;;;3
Mongodb real basic use case;Hope this helps.;;;2
Need Advice: Is this a good use case for a 'NoSQL' Database? If so, which one?;Ok, I might get flamed for not answering your question directly but I'm going to say it anyway because I think it's something you should consider. I don't have experience with NOSQL databases so I can't recommend one but as far as relational databases go there might be a better design for your situation.;Mike DinescuMike Dinescu;            50.5k1212 gold badges105105 silver badges141141 bronze badges;2
"DynamoDB API: How can I build an ""add JSON attribute if not present"" update request?";;;;
Are there any design patterns for bitemporal NoSQL databases? [closed];I have written a small bitemporal, open source database layer based on Mongodb:;;;1
Fastest way to update (populate) 1,000,000 records into a database using .NET;Remove looping... In SQL, try to make a table with 1 million rows... and left join it use this for insert/select data;;;1
Designing HBase schema to best support specific queries;My solution is:;Andrey UglevAndrey Uglev;            9777 bronze badges;1
MongoDB + Web App: Database per user;;;;
HBase multiple column families performance;;;;
best db to store files;What do that means? What exactly do you store in the database (so what is a file for you) ? On what operating system? For what file system?;Basile StarynkevitchBasile Starynkevitch;1;0
Design pattern for directed acyclic graphs in MongoDB;;;;
Suggest Cassandra data model for an existing schema;;;;
Is SQL Server support for JSON a replacement for NoSql solutions like MongoDB?;;;;
DynamoDB concurrent write;Consider using this distributed locking library, https://www.npmjs.com/package/dynamodb-lock-client, here is the sample code we use in our codebase:;;;0
dynamically horizontal scalable key value store;Amazon S3 is a storage solution, not a database.;;;5
Rock Mongo mongodb config settings;I got it working:;;;1
Titan vertex centric indices vs Neo4j labels;"Agreeing with everything Marko said, one could take it further and argue that in the graph database world local indexes can (and even should) substitute global ones. In my opinion, the single greatest advantage of a graph data model is that it lets you encode your data model into the graph topology, gaining qualitative advantages in terms of flexibility, ease of evolution and performance. With this in mind, I'd argue that labels in Neo4j actually detract from all this; reifying a label into a node with adjacent edges pointing to the source having that label is much more in line with the ""schema is the graph"" philosophy.";;;11
How to count records with one distinct field in mongoose?;Aggregation will work for you. Something like that:;aaronheckmannaaronheckmann;            9,97522 gold badges3737 silver badges3030 bronze badges;12
What's the most efficient document-oriented database engine to store thousands of medium sized documents?;Mongodb should be fine for this:;;;4
Mongodb aggregation by day based on unix timestamp;First thing is your date is stored in timestamp so you need to first convert timestamp to ISODate using adding new Date(0) and multiply timestamp to 1000 then you will get the  ISODate like this :;;;1
How does Cassandra scale horizontally ?;The number of replicas (i.e. the identical data) you want to store for each partition (row/piece of data) is configurable.  So, if you have n nodes, you could in theory set the database to replicate each partition n times.  Then, horizontal scaling would not occur if you add more nodes.  However, if you set the number of replicas to 1 or 2, you have more space per node to store data horizontally.  New data can then go into new nodes.  Keep in mind though, that with less replicas you have a greater chance of losing data if any set of nodes go down at a particular time.;;;2
Are there any NoSQL standards emerging? [closed];There is no single standard NoSQL solution, as Jörg explained (+1). The term NoSQL covers a wide array of database types, each tailored for a specific data domain.;;;4
SQL vs NoSQL for an inventory management system;Addressing your constraints:;;;6
Mongodb compass keeps on showing activating plugin;"I was having he same issue. I solved this by adding this:
Go to This PC-> Properties -> Advanced System Settings -> Environment Vaiable -> System Variable -> Path -> New -> C:\Windows\System32\wbem(Copy and Paste this path).
Hope this helps. Upvote and mark this as an answer if it solves the issue.";;;5
Elasticsearch document count returned by _stats versus _count;;;;
MongoDB to Java integration;You can choose Morphia. It is the most stable one over other ORM tools for Mongodb.;Parvin GasimzadeParvin Gasimzade;            22.5k88 gold badges5353 silver badges7777 bronze badges;5
What is the largest known Neo4j cluster?;"As an approach to an answer you might want to check out this interview with Emil Eifrem (neo's founder): http://www.infoq.com/interviews/eifrem-graphdbs. In particular check out the part on ""From a data complexity perspective, how does Neo4j help remove some of the implementation complexity in storing your data?"": ""hundreds of millions is probably a large one. And billions that's definitly a large one.""";;;11
MongoDB: can't convert from BSON type EOO to Date;If you needed to have some documents without this timestamp field, you could try this (I'm using Javascript/Mongoose notation):;;;2
Deleting Attribute in DynamoDB;This also works.;;;8
Cassandra cli: Convert hex values into a human-readable format;;;;
Problems connecting to Cassandra pool from Spring application;I tried reading more about the issue you have faced since I was facing the same issue. I had a cluster of 4 nodes and I was encountering an issue for one of the nodes. I did the below two steps to avoid getting this error -;;;2
How to do a join in Elasticsearch -- or at the Lucene level;Take a look at my answer for: In Elasticsearch, can multiple top-level documents share a single nested document?;PhilPhil;            2,73711 gold badge2222 silver badges2929 bronze badges;3
Scale now or later?;A LAMP stack is scalable.   Apache provides many, many alternatives.;;;6
MongoDB.Driver.Builders how to group and get average;;;;
storing time series in redis;It's a sorted set, so indeed value can't repeat. Redis might not be the best tool for your usage, give a try to a specialised database like influxdb.;;;1
Querying Multi Level Nested fields on Elastic Search;Shot in the dark since I haven't tried this personally, but have you tried the fully qualified path to Concepts?;;;2
Counter Vs Int column in Cassandra?;;;;
How would you model customer > order > ordertem > product in NoSql database?;"Mongo uses collections, which you could somewhat correlate to ""tables"", so you could have 4 collections here.   But note there's no reason you couldn't combine ""orders"" and ""order items"" into just ""orders"", as you need to consider each entry can be more of a document that you can achieve with RDBMSs.";;;0
Cassandra-cli cant connect to remote cassandra server;Cassandra cli uses thrift to connect to Cassandra. The rpc_address decides how the thrift clients can connect to Cassandra. Setting it to 0.0.0.0 will work, but setting it to the hostname of the server and then using the same hostname to connect will also work.;;;4
Runtime changing model with mongodb/mongoid;It is a little ridiculous to say that you don't need migrations with mongodb or mongoid.  Any sophisticated app needs to be refactored from time to time and that can mean pulling fields out of disparate documents into a new one.;;;4
nosql databases - what are these good for? [closed];Here you can read something about:;;;3
Non-serializable object error while working on Memcache;Updated due to question modification.;RiduidelRiduidel;            21.5k1212 gold badges8181 silver badges173173 bronze badges;3
MongoDB get server;I changed my code to following:;;;1
Why using a common hash key with AWS DynamoDB is a bad thing?;A common trick in your case is to have;;;7
How to Hybrid Mysql and MongoDB in Django;;;;
Can not find table using NoSQL Workbench for DynamoDB when connecting to DynamoDB Docker;I had the same problem with using a docker container with docker-compose.;;;0
Dynamodb updateitem only with global secondary index;A workaround I used for this was to first execute a query command using the document client, then extract the partition key from the result, and call the update method with my retrieved value as the key.;;;2
"""uncap"" a capped MongoDB collection";Unfortunately, the only option here is to copy collection, remove the old one and rename the new one:;mieciumieciu;            42833 silver badges77 bronze badges;5
Why you should not use nosql for financial transaction;SQL and NoSQL databases are not interchangeable. There's no silver bullet database technology. You should consider pros and cons when choosing what database technology you want to use for your project.;ahoxhaahoxha;            1,88999 silver badges2121 bronze badges;5
What are the advantages of multiple column families in HBase?;;;;
How to query all subdocuments;Welcome to Mongo;saeedsaeed;            3,58611 gold badge2323 silver badges2323 bronze badges;2
MongoDB performance with growing data structure;You could stick with MongoDB, but not embed all the comments into the main document, but just the most recent ones (limited by number), and keep all the rest in a separate collection.;;;6
Migrate data from relational DB to NoSQL;To simplify things a bit, an Oracle database would have complete mastery over what’s being stored in the database. Oracle or any RDBMS would do this by maintaining relationships between chunks of data stored in tables.;;;3
NoSQL or YesSQL;In RDMSs (YesSQL) you will most probably search values with LIKE or = operators on all records, i.e. search will take O(n). What you actually need is a data structure called inverted index, which allows you to find list of needed values in O(1). For description of structure and algorithms see Wikipedia article, for ready-to-use tools keep reading.;ffriendffriend;            25.7k1313 gold badges8484 silver badges127127 bronze badges;4
What data types does IndexedDb support?;;;;
Has LevelDB a max-length limit for keys?;There is no theoretical limit to the key length, but the DB might not be very efficient with long keys and short records. There is an index at the top of the SST files that contains the keys and the offsets into the file, and the keys in these index blocks are binary chopped to locate rows.;;;1
"Neo4j Design: Property vs ""Node & Relationship""";"Use labels; this blog post is a good intro to this new Neo4j 2.0  feature:";;;4
Can SQL Server and Mongo be used together?;;;;
Query mongo on timestamp;;;;
HBase: how put/get knows which region server to write to?;"Providing the same scenario and explanation from BigTable Paper: ""The client library caches tablet locations. If the client
does not know the location of a tablet, or if it discovers
that cached location information is incorrect, then
it recursively moves up the tablet location hierarchy.
If the client's cache is empty, the location algorithm
requires three network round-trips, including one read
from Chubby. If the client's cache is stale, the location
algorithm could take up to six round-trips, because stale
cache entries are only discovered upon misses (assuming
that METADATA tablets do not move very frequently).
Although tablet locations are stored in memory, so no
GFS accesses are required, we further reduce this cost
in the common case by having the client library prefetch
tablet locations: it reads the metadata for more than one
tablet whenever it reads the METADATA table.""";;;1
Referential Data Integrity: Necessity, nice-to-have, or old hat?;I think your final comment about having two data stores is the future for most of the new mid-sized apps coming out.  One backend with referential integrity for things like connecting core  components of the site and another one for larger, Internet scale data.;;;2
What NoSQL solution is best to store Apache error_log and access_log? Cassandra or MongoDB?;You can check out this article from Cloudkick if you are considering using Cassandra: 4 Months with Cassandra, a love story.;the_voidthe_void;            5,39222 gold badges2727 silver badges3232 bronze badges;5
Efficient way to store and query tree-like hierarchical data;Here is good survey of 8 NoSQL distributed databases and the needs that they fill.;user78706user78706;;2
Non-relational databases (NoSQL) for small to medium sized applications;The sweet spot of using a NoSQL database at that scale is when the database model (key-value, document, etc.) is a good match to the application's needs and the advanced relational functionality is not needed.;;;2
How is redundant data avoided in non relational databases?;;;;
Firebase database schema;;;;1
